date,value
2016/11/6,0.802
2016/11/7,0.806
2016/11/8,0.798
2016/11/9,0.808
2016/11/10,0.81
2016/11/13,0.814
2016/11/14,0.817
2016/11/15,0.818
2016/11/16,0.818
2016/11/17,0.816
2016/11/20,0.82
2016/11/21,0.826
2016/11/22,0.823
2016/11/23,0.82
2016/11/24,0.822
2016/11/27,0.818
2016/11/28,0.813
2016/11/29,0.809
2016/11/30,0.812
2016/12/1,0.801
2016/12/4,0.796
2016/12/5,0.8
2016/12/6,0.808
2016/12/7,0.807
2016/12/8,0.804
2016/12/11,0.763
2016/12/12,0.763
2016/12/13,0.76
2016/12/14,0.764
2016/12/15,0.774
2016/12/18,0.774
2016/12/19,0.777
2016/12/20,0.786
2016/12/21,0.79
2016/12/22,0.789
2016/12/25,0.787
2016/12/26,0.788
2016/12/27,0.788
2016/12/28,0.789
2016/12/29,0.795
2016/12/30,0.795
2017/1/2,0.799
2017/1/3,0.803
2017/1/4,0.803
2017/1/5,0.792
2017/1/8,0.794
2017/1/9,0.794
2017/1/10,0.786
2017/1/11,0.781
2017/1/12,0.778
2017/1/15,0.768
2017/1/16,0.772
2017/1/17,0.771
2017/1/18,0.773
2017/1/19,0.778
2017/1/22,0.778
2017/1/23,0.775
2017/1/24,0.779
2017/1/25,0.783
2017/2/2,0.78
2017/2/5,0.785
2017/2/6,0.784
2017/2/7,0.787
2017/2/8,0.789
2017/2/9,0.788
2017/2/12,0.792
2017/2/13,0.792
2017/2/14,0.789
2017/2/15,0.791
2017/2/16,0.788
2017/2/19,0.797
2017/2/20,0.806
2017/2/21,0.806
2017/2/22,0.802
2017/2/23,0.801
2017/2/26,0.798
2017/2/27,0.8
2017/2/28,0.8
2017/3/1,0.797
2017/3/2,0.801
2017/3/5,0.808
2017/3/6,0.813
2017/3/7,0.812
2017/3/8,0.809
2017/3/9,0.811
2017/3/12,0.821
2017/3/13,0.82
2017/3/14,0.821
2017/3/15,0.826
2017/3/16,0.819
2017/3/19,0.822
2017/3/20,0.827
2017/3/21,0.827
2017/3/22,0.831
2017/3/23,0.834
2017/3/26,0.823
2017/3/27,0.823
2017/3/28,0.818
2017/3/29,0.806
2017/3/30,0.809
2017/4/4,0.824
2017/4/5,0.824
2017/4/6,0.831
2017/4/9,0.822
2017/4/10,0.824
2017/4/11,0.819
2017/4/12,0.822
2017/4/13,0.812
2017/4/16,0.805
2017/4/17,0.804
2017/4/18,0.803
2017/4/19,0.805
2017/4/20,0.8
2017/4/23,0.79
2017/4/24,0.794
2017/4/25,0.803
2017/4/26,0.805
2017/4/27,0.805
2017/5/1,0.802
2017/5/2,0.797
2017/5/3,0.793
2017/5/4,0.786
2017/5/7,0.778
2017/5/8,0.781
2017/5/9,0.778
2017/5/10,0.778
2017/5/11,0.784
2017/5/14,0.786
2017/5/15,0.794
2017/5/16,0.793
2017/5/17,0.79
2017/5/18,0.787
2017/5/21,0.788
2017/5/22,0.786
2017/5/23,0.784
2017/5/24,0.79
2017/5/25,0.786
2017/5/30,0.785
2017/5/31,0.783
2017/6/1,0.78
2017/6/4,0.784
2017/6/5,0.789
2017/6/6,0.804
2017/6/7,0.81
2017/6/8,0.819
2017/6/11,0.821
2017/6/12,0.822
2017/6/13,0.813
2017/6/14,0.812
2017/6/15,0.811
2017/6/18,0.818
2017/6/19,0.811
2017/6/20,0.822
2017/6/21,0.811
2017/6/22,0.821
2017/6/25,0.836
2017/6/26,0.834
2017/6/27,0.829
2017/6/28,0.839
2017/6/29,0.837
2017/7/2,0.832
2017/7/3,0.831
2017/7/4,0.837
2017/7/5,0.84
2017/7/6,0.836
2017/7/9,0.828
2017/7/10,0.826
2017/7/11,0.826
2017/7/12,0.819
2017/7/13,0.823
2017/7/16,0.801
2017/7/17,0.803
2017/7/18,0.814
2017/7/19,0.824
2017/7/20,0.822
2017/7/23,0.823
2017/7/24,0.821
2017/7/25,0.815
2017/7/26,0.822
2017/7/27,0.828
2017/7/30,0.836
2017/7/31,0.836
2017/8/1,0.831
2017/8/2,0.828
2017/8/3,0.824
2017/8/6,0.824
2017/8/7,0.828
2017/8/8,0.83
2017/8/9,0.833
2017/8/10,0.825
2017/8/13,0.84
2017/8/14,0.846
2017/8/15,0.851
2017/8/16,0.851
2017/8/17,0.854
2017/8/20,0.855
2017/8/21,0.858
2017/8/22,0.858
2017/8/23,0.855
2017/8/24,0.861
2017/8/27,0.871
2017/8/28,0.875
2017/8/29,0.876
2017/8/30,0.879
2017/8/31,0.879
2017/9/3,0.885
2017/9/4,0.898
2017/9/5,0.896
2017/9/6,0.901
2017/9/7,0.902
2017/9/10,0.905
2017/9/11,0.908
2017/9/12,0.911
2017/9/13,0.91
2017/9/14,0.912
2017/9/17,0.916
2017/9/18,0.916
2017/9/19,0.92
2017/9/20,0.911
2017/9/21,0.906
2017/9/24,0.906
2017/9/25,0.911
2017/9/26,0.919
2017/9/27,0.928
2017/9/28,0.938
2017/10/8,0.948
2017/10/9,0.955
2017/10/10,0.955
2017/10/11,0.957
2017/10/12,0.958
2017/10/15,0.953
2017/10/16,0.957
2017/10/17,0.961
2017/10/18,0.959
2017/10/19,0.965
2017/10/22,0.972
2017/10/23,0.967
2017/10/24,0.98
2017/10/25,0.975
2017/10/26,0.974
2017/10/29,0.969
2017/10/30,0.973
2017/10/31,0.965
2017/11/1,0.973
2017/11/2,0.974
2017/11/5,0.999
2017/11/6,1
2017/11/7,0.993
2017/11/8,0.993
2017/11/9,1.011
2017/11/12,1.017
2017/11/13,1.011
2017/11/14,1.002
2017/11/15,1.02
2017/11/16,1.004
